"fid";"field_numb";"XCOORD.y";"YCOORD.y"
"1";"RZUH04";4957101.251;1949742.623
"2";"RZUH13";4957101.251;1946142.623
"3";"RZUH07";4957101.251;1948542.623
"4";"RZUH03";4957101.251;1950142.623
"5";"RZUH05";4957101.251;1949342.623
"6";"RZUH10";4957101.251;1947342.623
"7";"RZUH02";4957101.251;1950542.623
"8";"RZUH08";4957101.251;1948142.623
"9";"RZUH06";4957101.251;1948942.623
"10";"RZUH12";4957101.251;1946542.623
"11";"RZUH09";4957101.251;1947742.623
"12";"RZUH11";4957101.251;1946942.623
"13";"RZUE01";4955901.251;1950942.623
"14";"RZUE02";4955901.251;1950542.623
"15";"RZUF02";4956301.251;1950542.623
"16";"RZUF04";4956301.251;1949742.623
"17";"RZUF03";4956301.251;1950142.623
"18";"RZUF12";4956301.251;1946542.623
"19";"RZUF11";4956301.251;1946942.623
"20";"RZUF13";4956301.251;1946142.623
"21";"RZUF08";4956301.251;1948142.623
"22";"RZUF10";4956301.251;1947342.623
"23";"RZUF09";4956301.251;1947742.623
"24";"RZUA10";4954301.251;1947342.623
"25";"RZUA08";4954301.251;1948142.623
"26";"RZUA09";4954301.251;1947742.623
"27";"RZUA02";4954301.249;1950542.624
"28";"RZUA01";4954301.25;1950942.625
"29";"RZUA03b";4954301.247;1950142.624
"30";"RZUA06";4954301.243;1948942.624
"31";"RZUA05";4954301.244;1949342.624
"32";"RZUA04";4954301.246;1949742.624
"33";"RZUA07";4954301.251;1948542.623
"34";"RZUD12";4955501.251;1946542.623
"35";"RZUD08";4955501.251;1948142.623
"36";"RZUD01M";4955501.251;1950942.623
"37";"RZUD04";4955501.251;1949742.623
"38";"RZUD10";4955501.251;1947342.623
"39";"RZUD07";4955501.251;1948542.623
"40";"RZUD06";4955501.251;1948942.623
"41";"RZUD02";4955501.251;1950542.623
"42";"RZUD13";4955501.251;1946142.623
"43";"RZUD09";4955501.251;1947742.623
"44";"RZUD11";4955501.251;1946942.623
"45";"RZUD03";4955501.251;1950142.623
"46";"RZUD05";4955501.251;1949342.623
"47";"RZUE09";4955901.251;1947742.623
"48";"RZUE11";4955901.251;1946942.623
"49";"RZUE10";4955901.251;1947342.623
"50";"RZUC08";4955101.251;1948142.623
"51";"RZUC01";4955101.251;1950942.623
"52";"RZUC03";4955101.251;1950142.623
"53";"RZUC11";4955101.251;1946942.623
"54";"RZUC06";4955101.251;1948942.623
"55";"RZUC09";4955101.251;1947742.623
"56";"RZUC10";4955101.251;1947342.623
"57";"RZUC12";4955101.251;1946542.623
"58";"RZUC07";4955101.251;1948542.623
"59";"RZUC05";4955101.251;1949342.623
"60";"RZUC02";4955101.251;1950542.623
"61";"RZUE08";4955901.251;1948142.623
"62";"RZUE07";4955901.251;1948542.623
"63";"RZUE13";4955901.251;1946142.623
"64";"RZUE12";4955901.251;1946542.623
"65";"RZUB07";4954701.251;1948542.623
"66";"RZUB10";4954701.251;1947342.623
"67";"RZUB04";4954701.251;1949742.623
"68";"RZUB01";4954701.251;1950942.623
"69";"RZUB03";4954701.251;1950142.623
"70";"RZUB05";4954701.251;1949342.623
"71";"RZUB02";4954701.251;1950542.623
"72";"RZUB08";4954701.251;1948142.623
"73";"RZUB06";4954701.251;1948942.623
"74";"RZUB11";4954701.251;1946942.623
"75";"RZUB09";4954701.251;1947742.623
"76";"RZUF06";4956301.251;1948942.623
"77";"RZUF05";4956301.251;1949342.623
"78";"RZUF07";4956301.251;1948542.623
"79";"RZUE06";4955901.251;1948942.623
"80";"RZUE05";4955901.251;1949342.623
"81";"RZUE04";4955901.251;1949742.623
"82";"RZUE03";4955901.251;1950142.623
"83";"RZUG10";4956701.251;1947342.623
"84";"RZUG13";4956701.251;1946142.623
"85";"RZUG08";4956701.251;1948142.623
"86";"RZUG05";4956701.251;1949342.623
"87";"RZUG12";4956701.251;1946542.623
"88";"RZUG03";4956701.251;1950142.623
"89";"RZUG07";4956701.251;1948542.623
"90";"RZUG11";4956701.251;1946942.623
"91";"RZUG06";4956701.251;1948942.623
"92";"RZUG04";4956701.251;1949742.623
"93";"RZUG02";4956701.251;1950542.623
"94";"RZUG09";4956701.251;1947742.623
